Festival.name;Festival.month;Festival.isFamous;Festival.website;Festival.city_id;Festival.department_id;Festival.region_id
MIDI FESTIVAL;;;www.midi-festival.com;TOULON;Var;Provence-Alpes-Côte-d'Azur
MINO;;;www.mino.fr;PARIS;Paris;Ile-de-France
MUSICAL'ÉTÉ;;;www.ville-saintdizier.fr;ST DIZIER;Haute-Marne;Champagne-Ardenne
MUSIQUES D'ÉTÉ À EPERNAY;;;www.epernay.fr;EPERNAY;Marne;Champagne-Ardenne
F'Estivales Des MUSIQUES D'ICI ET D'AILLEURS;;;musiques-ici-ailleurs.com;CHALONS EN CHAMPAGNE;Marne;Champagne-Ardenne
NEVERS À VIF;;;www.nevers-a-vif.org;NEVERS;Nièvre;Bourgogne
Les NUITS DE FOURVIÈRE;;;www.nuitsdefourviere.fr;LYON;Rhône;Rhône-Alpes
NUITS SONIQUES;;;www.lesnuitssoniques.com;BRECH;Morbihan;Bretagne
NUITS SONORES;;;www.nuits-sonores.com;LYON;Rhône;Rhône-Alpes
ON CONNAIT LA CHANSON;;;www.onconnaitlachanson.fr;CHATEL GUYON;Puy-de-Dôme;Auvergne
OOHLALA FESTIVAL;;;www.oohlalafestival.com;PARIS;Paris;Ile-de-France
PAQUES ET OLIVES;;;www.palmes-olives.com;MONTBRONN;Moselle;Lorraine
PLAGE DE ROCK;;;www.myspace.com/plagederock;GRIMAUD;Var;Provence-Alpes-Côte-d'Azur
Les PLAGES ELECTRONIQUES;;;www.plages-electroniques.com;LE CANNET;Alpes-Maritimes;Provence-Alpes-Côte-d'Azur
Les POLY'SONS DE MONTBRISON;;;www.theatredespenitents.fr;MONTBRISON;Loire;Rhône-Alpes
Les POLYMUSICALES DE BOLLÈNE;;;www.bollene.com;BOLLENE;Vaucluse;Provence-Alpes-Côte-d'Azur
PRINTEMPS DE BOURGES - CRÉDIT MUTUEL;;1;www.printemps-bourges.com;PARIS;Paris;Ile-de-France
PRINTEMPS DE DAVIGNAC;;;www.davignac.com;DAVIGNAC;Corrèze;Limousin
PRINTEMPS DE LA CHANSON;;;www.odc-orne.com;SEES;Orne;Basse-Normandie
Le PRINTEMPS DE PEROUGES;;;www.festival-perouges.org;PEROUGES;Ain;Rhône-Alpes
Le PRINTEMPS DU CHIEN;;;www.chienaplumes.fr;MONTSAUGEON;Haute-Marne;Champagne-Ardenne
PRINTEMPS MUSICAL DU PECQ;;;www.ville-lepecq.fr;LE PECQ;Yvelines;Ile-de-France
RABARDELS, SEINE DE PRINTEMPS;;;www.myspace.com/rabardels;ROMILLY SUR SEINE;Aube;Champagne-Ardenne
RENC'ARTS A PORNICHET;;;www.rencarts.fr;PORNICHET;Loire-Atlantique;Pays de la Loire
RENCONTRES ENTRE LES MONDES;;;www.rencontresentrelesmondes.fr;CHABEUIL;Drôme;Rhône-Alpes
Les RENDEZ-VOUS DE L'ÉTÉ;;;www.figureslibres.org;VENDOME;Loir-et-Cher;Centre
Festival RÉSONANCES ELECTRONIQUES;;;www.octarine-production.com;DIJON;Côte-d'Or;Bourgogne
ROCK AUX PORTES DE L'ENFER;;;www.ferme-gwernandour.fr;BRASPARTS;Finistère;Bretagne
ROCK'N POCHE FESTIVAL;;;www.rocknpoche.com;HABERE POCHE;Haute-Savoie;Rhône-Alpes
SCÈNES D'ÉTÉ EN GIRONDE;;;www.scenesdete.fr;BORDEAUX;Gironde;Aquitaine
SPRING;;;www.labreche.fr;CHERBOURG;Manche;Basse-Normandie
TÉLÉRAMA DUB FESTIVAL;;;www.wizzz.telerama/dubfestival;PARIS;Paris;Ile-de-France
TEMPO RIVES;;;www.temporives.fr;ANGERS;Maine-et-Loire;Pays de la Loire
TILT FESTIVAL;;;www.tilt-festival.org;PERPIGNAN;Pyrénées-Orientales;Languedoc-Roussillon
TOULOUSE D'ÉTÉ;;;www.toulousedete.org;TOULOUSE;Haute-Garonne;Midi-Pyrénées
Les TRANSES CÉVENOLES;;;www.lestranses.org;SUMENE;Gard;Languedoc-Roussillon
TRIBU FESTIVAL;;;www.zutique.com;DIJON;Côte-d'Or;Bourgogne
VIBRATIONS URBAINES;;;www.vibrations-urbaines.net;PESSAC;Gironde;Aquitaine
WE LOVE GREEN;;;www.welovegreen.fr;PARIS;Paris;Ile-de-France
WORLDWIDE FESTIVAL;;;worldwidefestival.com;MONTPELLIER;Hérault;Languedoc-Roussillon
